name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chicago,2019-07-01,31.7,21,27,35,21,28.1,20.1,68.38,0,,0,,0,0,35.3,19.1,265.3,1014.2,41.8,15.9,212.6,11.5,7,,2019-07-01T05:19:07,2019-07-01T20:29:30,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-02,33.4,23.3,28.3,37.1,23.3,30.2,21.7,69.14,22.58,,20.83,,0,0,53.6,30,217.5,1010.8,52.5,15.5,172.6,9.3,5,,2019-07-02T05:19:38,2019-07-02T20:29:20,1,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-03,29.1,21.6,25.2,32.2,21.6,26,20.8,77.56,4.15,,25,,0,0,31.7,19.7,148,1011.7,58.2,15.9,191,10.3,7,,2019-07-03T05:20:11,2019-07-03T20:29:09,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-04,32.6,21.5,26.7,35.5,21.5,28.1,20.7,71.66,0,,0,,0,0,33.5,20.9,183.5,1013,52.9,14.6,170.7,9.8,7,,2019-07-04T05:20:45,2019-07-04T20:28:55,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-05,33,24.3,28.3,36.5,24.3,30.2,21.8,69.08,0.64,,8.33,,0,0,29.5,18.1,230.3,1014.1,57.7,15.6,159.9,8.6,7,,2019-07-05T05:21:21,2019-07-05T20:28:39,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-06,28.6,20.7,24.9,31.2,20.7,25.5,19.3,71.54,0.13,,8.33,,0,0,46.7,29.3,72.5,1014.8,47.5,15.7,187.3,10.1,7,,2019-07-06T05:21:58,2019-07-06T20:28:21,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-07,25.3,19.5,22.1,25.3,19.5,22.1,14.3,63.03,0,,0,,0,0,37.1,26.6,38.9,1016.4,70,16,119.9,6.5,4,,2019-07-07T05:22:36,2019-07-07T20:28:02,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-08,27.7,17.9,22.4,27.7,17.9,22.4,12.3,53.73,0,,0,,0,0,,18.1,86.8,1016.9,39.8,16,214.3,11.6,7,,2019-07-08T05:23:16,2019-07-08T20:27:39,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-09,31.1,18.9,25.3,30.5,18.9,25.3,15.6,57.53,0,,0,,0,0,37.1,18.4,126.9,1015.1,45.9,15.6,204.6,11.8,7,,2019-07-09T05:23:57,2019-07-09T20:27:15,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-10,34.9,24.4,29.6,37.4,24.4,30.8,19.4,56.57,0.07,,4.17,,0,0,41.9,23.5,245.3,1011.4,42.2,16,231.8,12.5,8,,2019-07-10T05:24:39,2019-07-10T20:26:49,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-11,27.1,20.3,24.2,27.7,20.3,24.3,16.5,62.61,0,,0,,0,0,35.3,21.9,141.1,1012.4,27.9,16,177.4,9.6,7,,2019-07-11T05:25:23,2019-07-11T20:26:21,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-12,30.8,16.4,24.2,30.4,16.4,24.1,13.9,55.28,0,,0,,0,0,28.3,16.9,235,1014,7.4,16,219.1,11.8,8,,2019-07-12T05:26:08,2019-07-12T20:25:51,0.41,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-13,33.7,22.7,27.5,36.3,22.7,28.4,18.8,60.34,2.83,,8.33,,0,0,37.8,25.2,191.1,1014.3,47.6,15.9,197.7,11.4,7,,2019-07-13T05:26:54,2019-07-13T20:25:18,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-14,31.5,22.3,26.7,33,22.3,27,17.8,59.07,0,,0,,0,0,,23.3,84.6,1018,37.9,16,202.4,10.9,7,,2019-07-14T05:27:41,2019-07-14T20:24:44,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-15,33,23.8,28,34.1,23.8,28.6,18.7,58.66,0,,0,,0,0,52.9,31.6,220.7,1016,30.5,16,210.2,11.4,7,,2019-07-15T05:28:29,2019-07-15T20:24:07,0.49,Partially cloudy,Partly cloudy throughout the day.,wind,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-16,27.7,22.2,25.2,30.5,22.2,25.9,21.5,80.41,3.03,,25,,0,0,33.5,16.5,176.8,1012.2,65.4,15.3,54.7,3,1,,2019-07-16T05:29:18,2019-07-16T20:23:29,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-17,31.2,23.6,27.4,34.9,23.6,28.8,22.1,74.07,10.75,,16.67,,0,0,66.6,17,143.8,1011.4,59,15.7,196.6,10.6,7,,2019-07-17T05:30:08,2019-07-17T20:22:49,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-18,31,22.1,26.6,38.4,22.1,28.8,23.2,82.3,31.85,,25,,0,0,54.5,34.3,193.6,1009.7,52.7,13.9,28.2,1.3,1,,2019-07-18T05:30:59,2019-07-18T20:22:06,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-19,34.2,27.3,30.5,43.2,31.1,36.9,25.1,73.26,0,,0,,0,0,43,25.6,218.1,1008.4,51.3,16,139.7,7.5,4,,2019-07-19T05:31:51,2019-07-19T20:21:22,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-20,35.4,24.2,28.8,42.7,24.2,32.3,23,71.79,3.65,,12.5,,0,0,60.5,31.3,178,1010.2,62.2,16,200.5,10.8,7,,2019-07-20T05:32:43,2019-07-20T20:20:36,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-21,25.6,21.8,23.4,25.6,21.8,23.3,18.6,75.76,23.55,,41.67,,0,0,40.7,29.8,54.2,1012.9,62.5,15.7,68.1,3.4,1,,2019-07-21T05:33:37,2019-07-21T20:19:48,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-22,23.9,18.9,21.4,23.9,18.9,21.4,12.2,57.7,0,,0,,0,0,53.7,32.7,74,1016.8,38.7,16,206.7,11.2,7,,2019-07-22T05:34:31,2019-07-22T20:18:58,0.64,Partially cloudy,Partly cloudy throughout the day.,wind,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-23,26.6,16.8,21.7,26.6,16.8,21.7,13.3,59.94,0,,0,,0,0,35.3,22.4,189.2,1018.5,28.4,16,202.9,11,7,,2019-07-23T05:35:25,2019-07-23T20:18:06,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
chicago,2019-07-24,26.3,16.7,22.2,26.3,16.7,22.2,11,52.81,0,,0,,0,0,29.5,16.1,159.5,1020.4,12.1,16,235,13.5,7,,2019-07-24T05:36:21,2019-07-24T20:17:13,0.73,Clear,Clear conditions throughout the day.,clear-day,"72534014819,KORD,KMDW,72530094846,74466504838,KPWK,D6362"
